序号,视频编码(BV号),视频标题,发布时间,播放量,时长,分区,合集/系列,视频链接
251,BV1864y1m7Xt,【主义主义】惠施哲学精讲：“方中方睨”“方生方死”到底是什么意思——原始的现象学/分析哲学（2-2-4-4）,2021-04-20,49305,131:54,人文历史,,https://www.bilibili.com/video/BV1864y1m7Xt
253,BV1pK411c7dC,【主义主义】我思形而上学（2-3）——笛卡尔的梦魇，斯宾诺莎的宁静，科学的摇篮，形而上学的坟墓,2021-04-20,47691,15:45,人文历史,,https://www.bilibili.com/video/BV1pK411c7dC
254,BV1H64y1i72N,【主义主义复习课】前现代的辩证思维：辩证形而上学（2-2）四大类共十六种,2021-04-20,23202,38:17,人文历史,,https://www.bilibili.com/video/BV1H64y1i72N
257,BV1P54y1j7HL,【主义主义】奥卡姆的剃刀到底是什么？认识论上完全不反思的形而上学：实体一元论（2-3-1）,2021-04-22,75763,39:20,人文历史,,https://www.bilibili.com/video/BV1P54y1j7HL
258,BV15V411J7AV,【主义主义】论渊博的无知性——渐进无限主义（2-3-1-1）：库萨的尼古拉的一元论形而上学，启发了康德的批判哲学与伦理学,2021-04-23,26666,31:37,人文历史,,https://www.bilibili.com/video/BV15V411J7AV
259,BV1B5411c7hW,【主义主义】布鲁诺究竟因何而死？——运动的静止主义（2-3-1-2）对亚里士多德体系重拳出击，启发了牛顿和伽利略的哲学,2021-04-24,24775,24:37,人文历史,,https://www.bilibili.com/video/BV1B5411c7hW
260,BV1ch411m7aM,【主义主义】实体整体主义（2-3-1-3）——斯宾诺莎的哲学确实是好东西,2021-04-25,74355,47:16,人文历史,,https://www.bilibili.com/video/BV1ch411m7aM
261,BV11q4y1E7WP,【主义主义】辩证一元论（2-3-1-4）：史上最强民哲、德意志第一位哲学家——波墨，越过康德直抵费希特、谢林、黑格尔,2021-04-26,47756,42:08,人文历史,,https://www.bilibili.com/video/BV11q4y1E7WP
262,BV1cv411j7qQ,【主义主义】心物二元论（2-3-2）：一切形而上学的没落之路,2021-04-27,33039,21:40,人文历史,,https://www.bilibili.com/video/BV1cv411j7qQ
263,BV1YZ4y1F7z1,【主义主义番外】我思、主体性、认识论、先验转向：如何超越形而上学（2） 走向观念论（3）简述笛卡尔、康德的哲学史地位,2021-04-27,46087,15:12,人文历史,,https://www.bilibili.com/video/BV1YZ4y1F7z1
264,BV1Mh411m765,【主义主义】理性动物主义（2-3-2-1）：比亚里士多德还要亚里士多德的托马斯·阿奎那,2021-04-28,33552,43:33,人文历史,,https://www.bilibili.com/video/BV1Mh411m765
266,BV1f84y1F7Wx,【主义主义】理性神秘主义（2-3-2-2）：埃克哈特大师——中期海德格尔的英雄，现代主体性的先驱,2021-04-29,32826,52:53,人文历史,,https://www.bilibili.com/video/BV1f84y1F7Wx
267,BV1YB4y1c7vH,【主义主义】超越的内在论（2-3-2-3）——路德据以掀起惊涛骇浪的现代精神,2021-04-30,26061,41:14,人文历史,,https://www.bilibili.com/video/BV1YB4y1c7vH
268,BV1np4y1b7YJ,【主义主义】现代理性主义（2-3-2-4）——一切现代哲学与科学的开端：笛卡尔为什么伟大，又在哪里蛇皮,2021-05-02,75914,82:59,人文历史,,https://www.bilibili.com/video/BV1np4y1b7YJ
269,BV1TN411f7Uo,【主义主义】单子主义（2-3-3）——现代科学的形而上学基础：莱布尼兹是如何把笛卡尔的内在封闭的机械性转化为外在孤立的并列关系的,2021-05-02,32888,32:03,人文历史,,https://www.bilibili.com/video/BV1TN411f7Uo
271,BV1mK4y1w7SL,【主义主义】前定主义（2-3-3-1）——为什么莱布尼兹不够莱布尼兹主义，而黑格尔才是真正的莱布尼兹主义,2021-05-04,30478,45:26,人文历史,,https://www.bilibili.com/video/BV1mK4y1w7SL
272,BV1AQ4y1f72y,【主义主义】体系完美主义（2-3-3-2）——沃尔夫并不那么蛇皮，他与康德可谓互有短长,2021-05-05,26031,33:03,人文历史,,https://www.bilibili.com/video/BV1AQ4y1f72y
273,BV1SA41137C8,【主义主义】逻辑原子主义：为什么罗素是一个蹩脚的前现代形而上学家,2021-05-05,71034,69:21,人文历史,,https://www.bilibili.com/video/BV1SA41137C8
276,BV1h64y127xS,【主义主义】分隔的整体主义（2-3-3-4）——叔本华悲观主义背后的形而上学根源,2021-05-07,43194,62:32,人文历史,,https://www.bilibili.com/video/BV1h64y127xS
277,BV1vo4y127Kn,【主义主义】宇宙平等主义（2-3-4）——哥白尼革命/公转的伟大的科学史、思想史意义,2021-05-08,25005,20:47,人文历史,,https://www.bilibili.com/video/BV1vo4y127Kn
279,BV13541137AF,【主义主义】数理还原主义（2-3-4-1）——伽利略的科学成就和不足背后的形而上学原因,2021-05-09,23786,28:34,人文历史,,https://www.bilibili.com/video/BV13541137AF
280,BV1fb4y1Z7Zm,【主义主义】稳定的干涉主义（2-3-4-2）：牛顿的形而上学，理解牛顿思想的关键，也是当时英国的时代精神,2021-05-10,27296,26:26,人文历史,,https://www.bilibili.com/video/BV1fb4y1Z7Zm
281,BV13K411F7bH,【主义主义】物理归纳主义（2-3-4-3）——培根：知识就是力量，而且是一种魔法力量,2021-05-10,23726,34:09,人文历史,,https://www.bilibili.com/video/BV13K411F7bH
283,BV1po4y1m78H,【主义主义】时空绝对主义（2-3-4-4）——伽森狄：盖过笛卡尔，化身马克思，17世纪最伟大的哲学家,2021-05-12,29056,31:58,人文历史,,https://www.bilibili.com/video/BV1po4y1m78H
